kaltmiete_listing,overpriced,floor,furnished,num_photos,total_floors,building_age_years,listing_date,wg_typ,year_built,priority_score,num_rooms,plz,balcony,days_online,living_area_m2,stadtteil,living_area_text,energieausweis,dist_uni_km,contact_type,heating_type,kitchen,dist_uni_min,elevator,clicks_last_week,listing_id,nebenkosten_eur
kalt 298€,True,4. OG,teilmöbliert,4,5,29,05.06.2026,Studenten-WG,1997,6,2.0,93049,ja,40,18.7,Großprüfening,"18,7 qm",C,9.1,Privat,Zentralheizung,Pantry,37,ja,183,INS-2026-47255,120
264,True,DG,teilmöbliert,19,3,12,26.03.2026,gemischt,2014,10,1.0,93053,nein,22,12.5,Galgenberg,12 m²,D,9.7,Genossenschaft,Gasetagenheizung,Einbauküche,39,nein,85,INS-2026-67038,58
kalt 167€,False,2. OG,unmöbliert,25,7,76,08.02.2026,Berufstätigen-WG,1950,10,2.0,93051,nein,73,15.7,Ziegetsdorf,15.7 m2,D,5.4,Privat,Nachtspeicher,Pantry,22,nein,34,INS-2026-39416,88
311 warm,False,EG,teilmöbliert,8,4,40,09.02.2026,Männer-WG,1986,10,1.5,93055,ja,9,16.9,Ostenviertel,"16,9 qm",B,8.1,Privat,Nachtspeicher,Einbauküche,33,ja,182,INS-2026-77051,52
421 €,True,2. OG,teilmöbliert,4,7,104,20.06.2026,gemischt,1922,5,2.0,93053,ja,3,16.8,Galgenberg,16.8 m2,F,3.4,Privat,Fernwärme,keine,15,nein,53,INS-2026-72631,144
Kaltmiete: 258 €,False,DG,möbliert,6,4,47,20.06.2026,gemischt,1979,7,1.0,93051,ja,69,17.1,Königswiesen,"17,1 qm",C,5.9,Makler,Öl,Pantry,23,nein,173,INS-2026-97161,160
"494,00 EUR",True,DG,möbliert,12,4,5,12.05.2026,gemischt,2021,3,3.0,93053,ja,53,21.1,Galgenberg,"21,1 qm",F,8.2,Privat,Zentralheizung,Einbauküche,33,ja,198,INS-2026-65459,63
246 €,False,4. OG,unmöbliert,4,3,61,26.05.2026,gemischt,1965,6,1.5,93053,ja,22,18.0,Galgenberg,18 m²,D,6.1,Privat,Nachtspeicher,Einbauküche,24,nein,300,INS-2026-22742,90
"235,00 EUR",False,Souterrain,teilmöbliert,13,4,59,17.06.2026,gemischt,1967,4,2.0,93055,ja,20,16.0,Ostenviertel,"16,0 qm",E,3.9,Privat,Fernwärme,Einbauküche,15,nein,180,INS-2026-77446,142
722 warm,True,4. OG,unmöbliert,25,6,16,07.01.2026,gemischt,2010,4,1.5,93051,nein,44,23.8,Kumpfmühl,"23,8 qm",A,3.3,Makler,Zentralheizung,Pantry,14,ja,132,INS-2026-57419,119
249,False,DG,unmöbliert,21,5,91,20.04.2026,Berufstätigen-WG,1935,7,2.0,93055,nein,40,19.8,Burgweinting,19.8 m2,E,4.7,Privat,Zentralheizung,Einbauküche,20,nein,108,INS-2026-40653,58
468 warm,False,4. OG,teilmöbliert,24,5,34,24.04.2026,gemischt,1992,3,1.5,93055,ja,43,23.0,Burgweinting,23.0 m2,G,3.7,Privat,Zentralheizung,Einbauküche,15,nein,16,INS-2026-80173,150
523,True,2. OG,teilmöbliert,22,2,124,27.03.2026,gemischt,1902,8,2.0,93053,nein,85,23.4,Galgenberg,23.4 m2,F,3.0,Makler,Gasetagenheizung,keine,11,nein,287,INS-2026-83017,136
361 warm,False,DG,möbliert,4,2,123,08.06.2026,Studenten-WG,1903,3,2.5,93051,ja,89,20.2,Ziegetsdorf,20.2 m2,D,2.3,Privat,Nachtspeicher,Einbauküche,9,nein,168,INS-2026-88051,96
162 €,False,3. OG,möbliert,8,5,86,28.04.2026,Studenten-WG,1940,10,2.0,93051,nein,67,12.3,Dechbetten,12 m²,D,10.4,Privat,Fernwärme,Einbauküche,42,nein,3,INS-2026-81782,98
339 €,False,2. OG,möbliert,23,4,115,18.04.2026,Berufstätigen-WG,1911,5,3.0,93053,ja,17,17.7,Galgenberg,"17,7 qm",F,10.6,Makler,Gasetagenheizung,Pantry,42,nein,108,INS-2026-37931,62
"235,00 EUR",True,2. OG,unmöbliert,13,4,32,17.03.2026,gemischt,1994,3,2.0,93051,ja,44,15.9,Dechbetten,16 m²,A,10.1,Genossenschaft,Zentralheizung,Einbauküche,40,nein,69,INS-2026-94686,105
477 warm,False,3. OG,teilmöbliert,5,2,22,05.06.2026,Studenten-WG,2004,3,2.0,93047,nein,40,18.3,Innenstadt,"18,3 qm",D,7.3,Privat,Nachtspeicher,Einbauküche,29,ja,279,INS-2026-27970,46
522 warm,True,EG,unmöbliert,4,4,12,17.05.2026,gemischt,2014,3,2.0,93053,ja,38,20.5,Galgenberg,20.5 m2,E,6.1,Privat,Fernwärme,keine,24,nein,265,INS-2026-33521,62
564 €,True,2. OG,teilmöbliert,22,6,13,29.03.2026,Studenten-WG,2013,1,2.0,93055,nein,79,29.7,Ostenviertel,"29,7 qm",D,2.9,Makler,Gasetagenheizung,Pantry,11,ja,33,INS-2026-40151,52
389,True,EG,teilmöbliert,3,4,103,29.06.2026,gemischt,1923,7,2.0,93053,ja,65,17.4,Kasernenviertel,17.4 m2,A,10.6,Privat,Gasetagenheizung,keine,42,nein,221,INS-2026-32777,45
"376,00 EUR",True,EG,unmöbliert,9,1,9,24.01.2026,Frauen-WG,2017,3,1.0,93051,ja,19,16.5,Kumpfmühl,"16,5 qm",B,5.5,Privat,Pellet,Pantry,21,ja,22,INS-2026-98548,91
600 warm,True,EG,unmöbliert,13,4,97,17.03.2026,gemischt,1929,7,1.0,93055,ja,26,26.2,Ostenviertel,26 m²,D,7.0,Genossenschaft,Gasetagenheizung,keine,27,nein,114,INS-2026-24783,118
336,False,1. OG,unmöbliert,8,1,64,01.04.2026,gemischt,1962,6,3.0,93053,ja,76,20.7,Galgenberg,"20,7 qm",D,3.3,Makler,Nachtspeicher,Pantry,13,nein,141,INS-2026-24178,54
Kaltmiete: 401 €,True,1. OG,unmöbliert,25,6,98,09.06.2026,gemischt,1928,7,1.0,93049,ja,57,27.1,Großprüfening,27.1 m2,F,11.2,Makler,Zentralheizung,keine,44,ja,98,INS-2026-14816,62
282 €,False,2. OG,unmöbliert,4,2,62,01.03.2026,gemischt,1964,6,3.0,93053,ja,85,20.3,Galgenberg,20.3 m2,H,9.5,Makler,Nachtspeicher,Einbauküche,38,ja,218,INS-2026-37103,64
"151,00 EUR",False,DG,möbliert,11,3,32,26.01.2026,gemischt,1994,5,2.0,93051,nein,55,13.6,Dechbetten,13.6 m2,H,9.7,Privat,Öl,Pantry,38,nein,252,INS-2026-94090,93
"559,00 EUR",True,2. OG,unmöbliert,20,7,113,28.05.2026,Studenten-WG,1913,1,1.0,93047,ja,52,20.6,Innenstadt,"20,6 qm",E,8.4,Privat,Zentralheizung,Einbauküche,34,ja,7,INS-2026-57734,89
274,True,EG,teilmöbliert,6,1,74,19.03.2026,gemischt,1952,7,1.5,93049,nein,14,15.0,Westenviertel,"15,0 qm",B,4.7,Makler,Zentralheizung,keine,19,nein,174,INS-2026-51056,150
553,True,EG,teilmöbliert,9,2,4,16.01.2026,gemischt,2022,6,2.0,93059,nein,77,19.1,Stadtamhof,19.1 m2,B,6.3,Privat,Fernwärme,Pantry,25,nein,107,INS-2026-90296,134
245,False,DG,teilmöbliert,23,4,95,06.02.2026,Studenten-WG,1931,5,3.0,93049,ja,48,22.4,Großprüfening,22 m²,C,4.9,Makler,Gasetagenheizung,Pantry,20,nein,109,INS-2026-93048,102
693 kalt,True,1. OG,teilmöbliert,2,1,12,23.05.2026,gemischt,2014,1,1.0,93047,ja,10,21.1,Innenstadt,21 m²,E,2.7,Privat,Nachtspeicher,Pantry,11,nein,162,INS-2026-48093,102
566 warm,True,2. OG,möbliert,16,4,125,11.06.2026,gemischt,1901,8,1.0,93059,nein,66,20.0,Reinhausen,20.0 m2,D,3.6,Makler,Zentralheizung,Pantry,15,nein,109,INS-2026-67619,144
299 €,False,2. OG,unmöbliert,7,6,95,25.05.2026,gemischt,1931,5,2.0,93051,ja,8,17.1,Kumpfmühl,17.1 m2,A+,11.0,Privat,Fernwärme,Einbauküche,45,nein,153,INS-2026-79201,67
250,False,3. OG,teilmöbliert,23,4,38,12.05.2026,Studenten-WG,1988,8,2.0,93055,nein,62,18.5,Burgweinting,18.5 m2,B,10.0,Makler,Zentralheizung,keine,40,ja,46,INS-2026-35890,116
654 warm,True,1. OG,unmöbliert,3,4,119,14.03.2026,Frauen-WG,1907,7,1.0,93053,ja,43,21.4,Kasernenviertel,"21,4 qm",H,4.0,Privat,Gasetagenheizung,Einbauküche,15,nein,72,INS-2026-38994,142
Kaltmiete: 331 €,True,4. OG,unmöbliert,4,2,44,28.04.2026,gemischt,1982,10,1.0,93051,ja,18,22.4,Ziegetsdorf,22.4 m2,F,4.3,Genossenschaft,Fernwärme,Einbauküche,17,ja,169,INS-2026-77468,166
kalt 410€,False,Souterrain,teilmöbliert,15,5,79,03.04.2026,Frauen-WG,1947,9,2.5,93049,nein,15,26.4,Westenviertel,26.4 m2,C,6.1,Privat,Zentralheizung,Einbauküche,25,ja,278,INS-2026-44464,58
273 warm,False,EG,teilmöbliert,13,2,71,07.04.2026,Studenten-WG,1955,2,2.0,93055,nein,41,16.1,Ostenviertel,16 m²,C,8.9,Privat,Zentralheizung,Pantry,36,ja,117,INS-2026-21894,52
"261,00 EUR",True,EG,teilmöbliert,15,7,114,28.04.2026,gemischt,1912,8,1.0,93051,nein,69,14.7,Ziegetsdorf,15 m²,D,8.6,Makler,Zentralheizung,Pantry,35,nein,168,INS-2026-20337,115
493,True,1. OG,teilmöbliert,11,3,113,25.02.2026,Berufstätigen-WG,1913,7,1.0,93059,nein,39,19.6,Stadtamhof,20 m²,E,10.9,Makler,Öl,keine,43,nein,104,INS-2026-62394,68
"373,00 EUR",True,1. OG,teilmöbliert,11,7,114,18.01.2026,gemischt,1912,3,2.5,93049,nein,13,17.5,Westenviertel,18 m²,D,9.6,Privat,Zentralheizung,Einbauküche,39,nein,27,INS-2026-65074,152
353,False,EG,unmöbliert,14,2,30,05.02.2026,gemischt,1996,8,3.0,93049,ja,68,24.8,Westenviertel,25 m²,A,10.1,Makler,Gasetagenheizung,Einbauküche,41,ja,106,INS-2026-49743,64
212 warm,False,EG,unmöbliert,9,5,41,04.01.2026,Studenten-WG,1985,8,2.0,93051,ja,43,12.3,Ziegetsdorf,"12,3 qm",A,5.3,Makler,Öl,Einbauküche,22,ja,203,INS-2026-12414,59
336 warm,True,1. OG,unmöbliert,23,6,78,12.03.2026,gemischt,1948,6,1.0,93049,nein,16,13.5,Westenviertel,"13,5 qm",E,2.8,Privat,Fernwärme,Pantry,11,ja,44,INS-2026-26596,76
228 €,True,2. OG,unmöbliert,8,1,42,04.01.2026,Studenten-WG,1984,7,1.0,93051,nein,77,16.7,Ziegetsdorf,"16,7 qm",D,8.6,Makler,Gasetagenheizung,Einbauküche,34,nein,234,INS-2026-28521,153
419 €,True,DG,teilmöbliert,23,2,118,12.04.2026,Berufstätigen-WG,1908,9,1.0,93049,nein,85,22.5,Karthaus-Prüll,22.5 m2,G,2.6,Privat,Zentralheizung,keine,10,nein,73,INS-2026-87033,189
632 warm,True,1. OG,möbliert,16,4,122,07.04.2026,Studenten-WG,1904,4,1.0,93059,ja,25,17.2,Stadtamhof,17 m²,A,10.3,Privat,Öl,Einbauküche,42,nein,78,INS-2026-55403,93
523,True,2. OG,unmöbliert,21,1,9,04.02.2026,Studenten-WG,2017,4,1.0,93053,nein,21,23.1,Galgenberg,"23,1 qm",H,9.0,Makler,Gasetagenheizung,Einbauküche,36,ja,273,INS-2026-53944,131
394 warm,True,2. OG,unmöbliert,9,7,84,19.05.2026,gemischt,1942,1,2.0,93055,ja,43,16.4,Ostenviertel,"16,4 qm",B,4.3,Genossenschaft,Zentralheizung,Einbauküche,17,ja,139,INS-2026-67682,104
372 warm,True,DG,unmöbliert,6,2,116,17.05.2026,Studenten-WG,1910,9,1.0,93055,ja,85,12.6,Ostenviertel,13 m²,F,3.6,Makler,Zentralheizung,Einbauküche,14,ja,93,INS-2026-10172,105
"298,00 EUR",False,2. OG,unmöbliert,2,7,81,13.03.2026,Studenten-WG,1945,2,1.5,93055,nein,28,22.7,Ostenviertel,23 m²,F,6.7,Makler,Nachtspeicher,keine,27,nein,246,INS-2026-51082,122
588,False,EG,unmöbliert,24,6,107,07.05.2026,Studenten-WG,1919,6,2.0,93053,nein,86,30.6,Kasernenviertel,31 m²,G,10.7,Privat,Gasetagenheizung,Einbauküche,43,ja,249,INS-2026-95698,116
kalt 343€,True,2. OG,unmöbliert,11,4,63,17.06.2026,Studenten-WG,1963,5,2.0,93051,ja,83,25.3,Ziegetsdorf,"25,3 qm",F,3.5,Privat,Zentralheizung,Einbauküche,14,ja,84,INS-2026-39119,103
Kaltmiete: 545 €,True,1. OG,teilmöbliert,18,7,114,02.04.2026,Berufstätigen-WG,1912,9,1.5,93053,ja,47,20.7,Galgenberg,"20,7 qm",A,6.4,Privat,Zentralheizung,Pantry,26,nein,3,INS-2026-82288,84
Kaltmiete: 490 €,False,1. OG,unmöbliert,6,5,75,22.01.2026,Männer-WG,1951,2,1.5,93051,nein,81,31.1,Kumpfmühl,31.1 m2,D,2.5,Privat,Nachtspeicher,keine,10,nein,178,INS-2026-27434,115
kalt 239€,False,2. OG,unmöbliert,15,6,42,05.03.2026,Studenten-WG,1984,1,2.0,93049,nein,8,20.7,Großprüfening,"20,7 qm",H,5.6,Privat,Gasetagenheizung,Einbauküche,23,ja,258,INS-2026-33820,129
236,True,Souterrain,teilmöbliert,21,5,18,27.03.2026,Männer-WG,2008,5,2.0,93049,ja,9,15.7,Großprüfening,16 m²,A+,1.9,Privat,Gasetagenheizung,Pantry,8,ja,185,INS-2026-78963,125
418 kalt,True,2. OG,möbliert,25,7,109,10.04.2026,gemischt,1917,1,3.0,93051,ja,53,22.2,Königswiesen,22 m²,A,3.9,Makler,Zentralheizung,Pantry,16,ja,156,INS-2026-56547,136
"191,00 EUR",False,Souterrain,unmöbliert,12,6,66,23.03.2026,Frauen-WG,1960,6,3.0,93051,ja,39,16.7,Königswiesen,17 m²,E,10.9,Privat,Zentralheizung,Einbauküche,43,ja,120,INS-2026-57860,143
243,False,3. OG,teilmöbliert,20,6,88,14.06.2026,Männer-WG,1938,1,1.5,93055,nein,8,17.4,Burgweinting,17 m²,E,10.7,Makler,Öl,Einbauküche,44,ja,162,INS-2026-54547,70
kalt 267€,True,3. OG,möbliert,5,6,57,20.03.2026,Frauen-WG,1969,1,1.0,93055,ja,51,15.0,Burgweinting,"15,0 qm",A+,6.0,Privat,Zentralheizung,keine,24,nein,81,INS-2026-89124,107
513 warm,True,1. OG,unmöbliert,15,7,3,06.04.2026,gemischt,2023,10,1.0,93055,nein,70,21.2,Burgweinting,21 m²,G,11.5,Privat,Fernwärme,Einbauküche,45,nein,142,INS-2026-70894,133
"269,00 EUR",True,3. OG,unmöbliert,22,4,107,06.06.2026,gemischt,1919,4,2.0,93051,ja,85,14.1,Kumpfmühl,14 m²,C,8.8,Makler,Zentralheizung,Einbauküche,35,nein,204,INS-2026-78362,136
"351,00 EUR",True,3. OG,möbliert,4,5,62,23.03.2026,gemischt,1964,4,2.5,93051,nein,77,17.6,Kumpfmühl,17.6 m2,A,1.5,Makler,Öl,Pantry,6,ja,269,INS-2026-62799,145
273 €,False,2. OG,möbliert,6,6,50,04.04.2026,gemischt,1976,2,3.0,93051,ja,17,18.9,Königswiesen,18.9 m2,D,8.0,Privat,Gasetagenheizung,Einbauküche,31,ja,90,INS-2026-34759,83
398,True,1. OG,unmöbliert,5,5,83,10.03.2026,gemischt,1943,2,1.0,93047,nein,19,15.0,Innenstadt,"15,0 qm",F,2.8,Privat,Zentralheizung,Einbauküche,11,ja,107,INS-2026-92717,149
533,True,3. OG,teilmöbliert,4,1,54,13.01.2026,gemischt,1972,6,1.5,93055,nein,41,31.9,Burgweinting,32 m²,A,4.6,Genossenschaft,Fernwärme,Einbauküche,18,nein,291,INS-2026-48115,83
242,False,3. OG,unmöbliert,2,5,54,29.06.2026,gemischt,1972,6,2.0,93051,ja,75,14.6,Kumpfmühl,15 m²,F,2.1,Makler,Öl,keine,8,nein,24,INS-2026-37614,142
187,False,2. OG,teilmöbliert,4,7,62,07.04.2026,gemischt,1964,8,2.5,93049,ja,57,13.5,Westenviertel,"13,5 qm",F,8.0,Privat,Nachtspeicher,keine,32,ja,123,INS-2026-51491,87
"284,00 EUR",False,3. OG,teilmöbliert,2,3,65,21.06.2026,Studenten-WG,1961,5,3.0,93051,nein,34,23.8,Königswiesen,24 m²,D,11.3,Privat,Zentralheizung,Einbauküche,45,nein,1,INS-2026-25615,71
325,False,3. OG,unmöbliert,25,7,52,27.05.2026,Berufstätigen-WG,1974,8,1.5,93051,ja,26,20.3,Kumpfmühl,"20,3 qm",D,6.8,Privat,Nachtspeicher,Pantry,27,ja,77,INS-2026-86799,124
"326,00 EUR",True,2. OG,unmöbliert,11,6,96,23.03.2026,Frauen-WG,1930,9,1.0,93053,ja,44,15.2,Kasernenviertel,15.2 m2,A+,4.4,Privat,Zentralheizung,keine,17,nein,127,INS-2026-27484,114
392 warm,True,3. OG,möbliert,13,1,23,22.03.2026,Studenten-WG,2003,9,1.5,93055,nein,18,17.0,Ostenviertel,17.0 m2,C,8.2,Makler,Zentralheizung,Pantry,32,ja,14,INS-2026-17122,81
225 €,False,4. OG,teilmöbliert,2,2,67,29.01.2026,Studenten-WG,1959,8,1.5,93055,nein,44,17.0,Ostenviertel,"17,0 qm",F,9.7,Makler,Gasetagenheizung,Einbauküche,39,nein,200,INS-2026-33744,114
216 kalt,False,3. OG,unmöbliert,6,6,37,24.04.2026,Berufstätigen-WG,1989,8,2.0,93051,nein,14,17.9,Ziegetsdorf,"17,9 qm",A,6.8,Privat,Gasetagenheizung,Einbauküche,27,nein,281,INS-2026-37027,50
426 warm,True,4. OG,teilmöbliert,17,3,124,20.04.2026,gemischt,1902,5,1.5,93059,ja,45,16.1,Reinhausen,16.1 m2,F,4.2,Privat,Zentralheizung,Pantry,17,nein,190,INS-2026-94280,167
278,False,DG,unmöbliert,7,7,94,06.01.2026,Studenten-WG,1932,4,2.0,93049,nein,48,20.8,Großprüfening,"20,8 qm",A+,8.3,Privat,Gasetagenheizung,keine,33,ja,262,INS-2026-78198,48
"408,00 EUR",True,3. OG,unmöbliert,24,1,116,02.03.2026,gemischt,1910,9,1.0,93053,nein,70,19.7,Kasernenviertel,"19,7 qm",H,6.1,Makler,Gasetagenheizung,keine,24,ja,215,INS-2026-30947,120
"444,00 EUR",True,DG,teilmöbliert,12,7,29,12.04.2026,gemischt,1997,9,2.0,93049,ja,43,18.6,Westenviertel,19 m²,F,2.0,Privat,Zentralheizung,Einbauküche,8,ja,18,INS-2026-65263,127
287 kalt,True,1. OG,unmöbliert,12,6,32,19.01.2026,Studenten-WG,1994,5,1.0,93049,ja,38,15.8,Westenviertel,15.8 m2,E,9.5,Genossenschaft,Zentralheizung,Einbauküche,38,ja,252,INS-2026-14837,170
kalt 328€,True,1. OG,teilmöbliert,3,3,17,24.02.2026,Studenten-WG,2009,3,2.0,93049,nein,42,20.5,Großprüfening,20 m²,A,8.3,Privat,Zentralheizung,Einbauküche,33,nein,151,INS-2026-72878,102
374 kalt,True,2. OG,teilmöbliert,2,6,53,24.06.2026,gemischt,1973,2,2.5,93053,nein,8,18.5,Kasernenviertel,"18,5 qm",F,4.2,Makler,Zentralheizung,Einbauküche,17,ja,86,INS-2026-48249,120
206 €,False,DG,teilmöbliert,18,3,75,24.04.2026,Studenten-WG,1951,8,2.5,93059,nein,83,20.0,Reinhausen,20 m²,F,6.5,Makler,Nachtspeicher,Einbauküche,26,nein,291,INS-2026-91049,135
"299,00 EUR",True,4. OG,möbliert,7,5,66,20.06.2026,gemischt,1960,4,1.5,93059,nein,4,13.7,Stadtamhof,14 m²,G,5.8,Makler,Nachtspeicher,Pantry,23,ja,21,INS-2026-77865,113
692 €,True,1. OG,teilmöbliert,3,6,4,05.02.2026,gemischt,2022,7,1.5,93047,ja,57,18.3,Innenstadt,18 m²,C,4.4,Privat,Fernwärme,Einbauküche,17,nein,95,INS-2026-28803,61
516,False,3. OG,teilmöbliert,20,7,115,15.05.2026,gemischt,1911,6,3.0,93053,ja,64,26.7,Kasernenviertel,27 m²,A,7.9,Privat,Zentralheizung,Pantry,31,nein,78,INS-2026-97723,88
"323,00 EUR",True,3. OG,teilmöbliert,5,2,108,19.03.2026,Studenten-WG,1918,8,1.5,93047,nein,2,11.7,Innenstadt,"11,7 qm",C,10.5,Privat,Gasetagenheizung,Einbauküche,42,ja,98,INS-2026-43257,63
313,False,4. OG,unmöbliert,16,3,48,04.04.2026,gemischt,1978,1,1.5,93053,ja,25,21.8,Kasernenviertel,"21,8 qm",B,9.4,Makler,Nachtspeicher,Pantry,38,nein,43,INS-2026-14805,85
"422,00 EUR",False,3. OG,teilmöbliert,11,6,50,07.04.2026,Studenten-WG,1976,8,1.5,93047,ja,51,18.8,Innenstadt,19 m²,D,3.3,Privat,Öl,Einbauküche,13,nein,239,INS-2026-57497,72
472 €,True,EG,möbliert,19,6,74,23.02.2026,gemischt,1952,3,2.5,93053,nein,61,23.5,Kasernenviertel,24 m²,C,1.6,Privat,Zentralheizung,Einbauküche,6,ja,1,INS-2026-93265,138
341,True,1. OG,möbliert,13,6,85,10.06.2026,Studenten-WG,1941,10,1.5,93049,nein,83,17.9,Großprüfening,18 m²,E,1.8,Privat,Fernwärme,Einbauküche,7,nein,281,INS-2026-27689,140
Kaltmiete: 369 €,True,DG,teilmöbliert,11,3,115,24.02.2026,Studenten-WG,1911,5,2.0,93051,nein,2,25.3,Ziegetsdorf,25 m²,B,1.8,Privat,Fernwärme,keine,7,nein,29,INS-2026-40683,125
"556,00 EUR",False,EG,unmöbliert,20,1,85,26.05.2026,Studenten-WG,1941,3,2.0,93053,ja,59,32.9,Galgenberg,"32,9 qm",H,10.4,Privat,Fernwärme,Einbauküche,42,ja,55,INS-2026-96605,186
910 warm,True,2. OG,möbliert,19,3,52,23.01.2026,gemischt,1974,10,1.0,93047,nein,64,26.1,Innenstadt,"26,1 qm",A,4.4,Privat,Gasetagenheizung,keine,18,ja,34,INS-2026-46348,127
440 warm,True,3. OG,möbliert,22,2,72,09.05.2026,Studenten-WG,1954,6,1.5,93055,nein,10,19.5,Ostenviertel,20 m²,G,9.4,Makler,Zentralheizung,Einbauküche,37,ja,122,INS-2026-35153,98
"243,00 EUR",True,1. OG,möbliert,6,1,39,25.05.2026,gemischt,1987,5,2.5,93051,ja,31,14.4,Königswiesen,14 m²,D,4.4,Makler,Nachtspeicher,Einbauküche,18,nein,131,INS-2026-46386,100
221,False,4. OG,unmöbliert,25,5,29,04.03.2026,gemischt,1997,3,2.0,93053,nein,56,12.5,Kasernenviertel,12 m²,E,6.4,Makler,Zentralheizung,Pantry,26,nein,172,INS-2026-85648,148
Kaltmiete: 323 €,False,Souterrain,möbliert,15,5,57,04.05.2026,gemischt,1969,4,2.0,93051,ja,79,19.4,Kumpfmühl,19 m²,F,5.2,Privat,Gasetagenheizung,Pantry,22,nein,279,INS-2026-87146,118
kalt 353€,False,3. OG,unmöbliert,9,7,23,08.04.2026,gemischt,2003,7,2.0,93053,ja,83,18.7,Kasernenviertel,18.7 m2,B,5.6,Makler,Nachtspeicher,keine,22,ja,24,INS-2026-70729,94
683 warm,True,EG,möbliert,13,1,34,17.04.2026,Frauen-WG,1992,9,2.0,93049,ja,29,27.8,Westenviertel,28 m²,A+,3.4,Privat,Zentralheizung,Pantry,13,nein,153,INS-2026-43785,76
234 €,False,1. OG,teilmöbliert,11,3,33,18.04.2026,gemischt,1993,6,3.0,93051,nein,83,16.3,Kumpfmühl,16.3 m2,E,9.1,Makler,Nachtspeicher,Pantry,37,ja,170,INS-2026-71723,74
320 warm,True,1. OG,unmöbliert,15,7,81,22.02.2026,Studenten-WG,1945,1,1.0,93059,ja,31,11.9,Reinhausen,11.9 m2,F,8.8,Genossenschaft,Fernwärme,Einbauküche,35,nein,39,INS-2026-87334,102
Kaltmiete: 463 €,False,2. OG,unmöbliert,10,6,13,09.02.2026,Frauen-WG,2013,4,2.0,93053,nein,17,22.7,Galgenberg,23 m²,E,4.7,Privat,Gasetagenheizung,keine,19,ja,116,INS-2026-19505,139
"309,00 EUR",False,1. OG,teilmöbliert,12,1,65,16.03.2026,Studenten-WG,1961,4,2.0,93055,ja,17,21.3,Ostenviertel,21 m²,C,7.6,Privat,Zentralheizung,Einbauküche,30,nein,168,INS-2026-72258,121
427,True,1. OG,unmöbliert,3,5,11,02.01.2026,Studenten-WG,2015,6,1.5,93059,ja,52,21.1,Reinhausen,21.1 m2,A,1.7,Genossenschaft,Nachtspeicher,keine,7,nein,132,INS-2026-58598,90
kalt 269€,True,1. OG,unmöbliert,6,6,30,17.06.2026,gemischt,1996,5,2.0,93049,ja,49,16.0,Karthaus-Prüll,16 m²,D,5.0,Privat,Öl,Pantry,20,ja,138,INS-2026-39057,124
548 warm,True,3. OG,möbliert,21,4,54,23.03.2026,gemischt,1972,1,3.0,93051,nein,35,19.9,Kumpfmühl,19.9 m2,G,2.6,Privat,Gasetagenheizung,Einbauküche,11,ja,186,INS-2026-31121,133
Kaltmiete: 334 €,False,4. OG,unmöbliert,6,2,94,14.01.2026,Frauen-WG,1932,6,3.0,93055,nein,33,25.4,Ostenviertel,25.4 m2,C,9.9,Privat,Nachtspeicher,Einbauküche,40,ja,257,INS-2026-24307,115
"338,00 EUR",False,3. OG,unmöbliert,16,7,46,09.04.2026,Berufstätigen-WG,1980,1,2.0,93053,ja,52,17.4,Kasernenviertel,"17,4 qm",A+,6.2,Privat,Zentralheizung,Einbauküche,24,nein,70,INS-2026-97697,56
352,True,EG,teilmöbliert,6,1,112,30.04.2026,Studenten-WG,1914,4,1.5,93051,ja,3,20.4,Königswiesen,20.4 m2,F,3.5,Privat,Öl,keine,14,ja,48,INS-2026-37416,76
217,False,DG,teilmöbliert,12,2,3,05.06.2026,Berufstätigen-WG,2023,2,2.5,93051,nein,38,19.4,Dechbetten,"19,4 qm",E,8.0,Privat,Gasetagenheizung,Einbauküche,32,nein,17,INS-2026-57353,160
368 warm,True,4. OG,möbliert,6,6,23,06.01.2026,Studenten-WG,2003,9,2.0,93051,nein,27,23.5,Dechbetten,23.5 m2,A+,7.1,Makler,Gasetagenheizung,Pantry,28,nein,241,INS-2026-94456,48
317 €,False,2. OG,unmöbliert,15,5,34,08.02.2026,Studenten-WG,1992,2,2.5,93053,ja,88,18.0,Kasernenviertel,18 m²,F,8.8,Privat,Zentralheizung,Pantry,35,ja,240,INS-2026-85480,175
327 warm,False,EG,möbliert,8,3,78,15.03.2026,Studenten-WG,1948,2,3.0,93053,nein,31,13.5,Kasernenviertel,14 m²,F,10.2,Privat,Gasetagenheizung,Einbauküche,40,nein,82,INS-2026-32697,76
"425,00 EUR",True,DG,teilmöbliert,9,6,98,27.03.2026,gemischt,1928,10,1.0,93053,nein,6,16.8,Kasernenviertel,17 m²,F,9.4,Genossenschaft,Fernwärme,Pantry,37,ja,66,INS-2026-80316,168
Kaltmiete: 332 €,False,1. OG,möbliert,18,4,57,26.01.2026,Studenten-WG,1969,1,3.0,93055,ja,52,20.9,Ostenviertel,20.9 m2,A+,7.5,Makler,Zentralheizung,Pantry,30,nein,210,INS-2026-39171,74
401 €,True,1. OG,teilmöbliert,24,7,13,23.03.2026,Berufstätigen-WG,2013,5,2.0,93049,nein,32,18.4,Westenviertel,18.4 m2,A,8.9,Makler,Gasetagenheizung,Einbauküche,36,nein,72,INS-2026-22044,54
